docid;rank_score;fqcategory;mes:key;title;mes:key;mes:group
13545;0;BestBets:jhuedu-suggestions;+Tm0tB+tsf+KjSaYZ9ib0Q==;Diversity Leadership Council;+Tm0tB+tsf+KjSaYZ9ib0Q==;
13513;0;BestBets:jhuedu-suggestions;+nKCtWVM22I7M94tjdcBfA==;Montgomery County Campus;+nKCtWVM22I7M94tjdcBfA==;
13532;0;BestBets:jhuedu-suggestions;0M0bOsci9NWsUREOoyHDQw==;Planning and Budget;0M0bOsci9NWsUREOoyHDQw==;
13584;0;BestBets:jhuedu-suggestions;1JfIcwMw+6CCqV7QrQciVQ==;Full-Time Graduate Programs in Arts and Sciences and Engineering;1JfIcwMw+6CCqV7QrQciVQ==;
13570;0;BestBets:jhuedu-suggestions;2Jp0Qq5A/puyYY/dxpGVwQ==;Hopkins Interactive;2Jp0Qq5A/puyYY/dxpGVwQ==;
13589;0;BestBets:jhuedu-suggestions;2MGsF8vhLAZ/zXYEa0NNBA==;Technology Ventures;2MGsF8vhLAZ/zXYEa0NNBA==;
13599;0;BestBets:jhuedu-suggestions;2MRd5ntWJPXpvf9BhO9c5g==;People Search;2MRd5ntWJPXpvf9BhO9c5g==;
13510;0;BestBets:jhuedu-suggestions;2Q/IfJiHoDT7ufnCX+aF/w==;Events;2Q/IfJiHoDT7ufnCX+aF/w==;
13623;0;BestBets:jhuedu-suggestions;2XmUpoODtXoxP5nhUVFSdg==;Technology Entrepreneurship at the Carey Business School;2XmUpoODtXoxP5nhUVFSdg==;
13527;0;BestBets:jhuedu-suggestions;2n2CAC/tW7feLKegSuuALA==;Development & Alumni Relations;2n2CAC/tW7feLKegSuuALA==;
13591;0;BestBets:jhuedu-suggestions;3sdHp1Frah0isPaRYqz41A==;myPerformance;3sdHp1Frah0isPaRYqz41A==;
13607;0;BestBets:jhuedu-suggestions;40FMYPhaWnWFD7LonVEv5Q==;Museums;40FMYPhaWnWFD7LonVEv5Q==;
13506;0;BestBets:jhuedu-suggestions;4HxRkW2IUszO11EcHo/rWA==;Student Information System;4HxRkW2IUszO11EcHo/rWA==;
13566;0;BestBets:jhuedu-suggestions;4MtM7se5zlZT8j/gfETmVA==;Urban Health Institute;4MtM7se5zlZT8j/gfETmVA==;
13516;0;BestBets:jhuedu-suggestions;53tdWSgaT0cBnsiKBVyw2A==;Information Technology;53tdWSgaT0cBnsiKBVyw2A==;
13521;0;BestBets:jhuedu-suggestions;5zxfjtFdYqxgYiTk7SjCkA==;Office of the Provost;5zxfjtFdYqxgYiTk7SjCkA==;
13597;0;BestBets:jhuedu-suggestions;6Ec1licaU7HOEhnMYQJOBw==;Accounts Payable;6Ec1licaU7HOEhnMYQJOBw==;
13560;0;BestBets:jhuedu-suggestions;7ukoDSmb0Fa/BXX7hiCK/A==;Jhpiego;7ukoDSmb0Fa/BXX7hiCK/A==;
13504;0;BestBets:jhuedu-suggestions;80evmK1i3d7dnb+xVV4ttA==;Employee Benefits at Johns Hopkins University;80evmK1i3d7dnb+xVV4ttA==;
13524;0;BestBets:jhuedu-suggestions;84gdgsvSY5PNv6BKExsZ8Q==;Employment at Johns Hopkins University;84gdgsvSY5PNv6BKExsZ8Q==;
13563;0;BestBets:jhuedu-suggestions;8544g8Vn1Rmu3/UXjz/58w==;University Leadership;8544g8Vn1Rmu3/UXjz/58w==;
13509;0;BestBets:jhuedu-suggestions;8da0aQcyDjDQVkZGJEilEQ==;e210;8da0aQcyDjDQVkZGJEilEQ==;
13508;0;BestBets:jhuedu-suggestions;9lyLB8NCXD+0KkKmIh6Xsw==;Employee Benefits at Johns Hopkins Hospital & Health System;9lyLB8NCXD+0KkKmIh6Xsw==;
13590;0;BestBets:jhuedu-suggestions;AHUDmnOPwRNTsTiB/T96rQ==;Johns Hopkins Hospital;AHUDmnOPwRNTsTiB/T96rQ==;
13579;0;BestBets:jhuedu-suggestions;AkADnzDfyD4Co5E2NopZrg==;Carey Business School;AkADnzDfyD4Co5E2NopZrg==;
13594;0;BestBets:jhuedu-suggestions;B+xL8lxxumyKqJW55MfF9Q==;Official Bookstore;B+xL8lxxumyKqJW55MfF9Q==;
13526;0;BestBets:jhuedu-suggestions;BSWqHu1aK03KN9kdAwjgaw==;Alumni Association;BSWqHu1aK03KN9kdAwjgaw==;
13565;0;BestBets:jhuedu-suggestions;CFFcjT2ZrF9ZhhNP8lhOhA==;Spring Open House and Overnight Program;CFFcjT2ZrF9ZhhNP8lhOhA==;
13610;0;BestBets:jhuedu-suggestions;CIbohYdW5rtUUyBsu0otcg==;Department of Biomedical Engineering;CIbohYdW5rtUUyBsu0otcg==;
13588;0;BestBets:jhuedu-suggestions;CuoU2buPxRIjCJLm2Ow2dg==;FastForward;CuoU2buPxRIjCJLm2Ow2dg==;
13522;0;BestBets:jhuedu-suggestions;DiQvkN2N+pQJHX/oy/oA9A==;Office of Communications;DiQvkN2N+pQJHX/oy/oA9A==;
13544;0;BestBets:jhuedu-suggestions;ErVlF62Z5bvUEfUStTj4YQ==;Live Near Your Work;ErVlF62Z5bvUEfUStTj4YQ==;
13530;0;BestBets:jhuedu-suggestions;FTTJb9d4CZ2J5MILHIpJMg==;Office of the Controller;FTTJb9d4CZ2J5MILHIpJMg==;
13571;0;BestBets:jhuedu-suggestions;Fs4e6jsQ2zz0EMHALKMejw==;Whiting School of Engineering;Fs4e6jsQ2zz0EMHALKMejw==;
13609;0;BestBets:jhuedu-suggestions;FvzwkwnpR8RwyD28kzaWqA==;Mailing Address;FvzwkwnpR8RwyD28kzaWqA==;
13572;0;BestBets:jhuedu-suggestions;H6sItVe8wW4CQuqxa92YUA==;Office of the Dean of Student Life;H6sItVe8wW4CQuqxa92YUA==;
13558;0;BestBets:jhuedu-suggestions;HaY7Ir8Kd/H7eL8MdwyDOA==;Johns Hopkins University Press;HaY7Ir8Kd/H7eL8MdwyDOA==;
13505;0;BestBets:jhuedu-suggestions;Hjn6ySMMjRzpq4IgRNTJOw==;Employment at Johns Hopkins Health System;Hjn6ySMMjRzpq4IgRNTJOw==;
13618;0;BestBets:jhuedu-suggestions;HteKROs5Z+8AkhX/AiFIPw==;Holiday Calendar;HteKROs5Z+8AkhX/AiFIPw==;
13585;0;BestBets:jhuedu-suggestions;Hvd8poPXob+Fzxu8q1oTmA==;The Hub;Hvd8poPXob+Fzxu8q1oTmA==;
